pfaf_id,bau30_ws_x_r,bau30_ws_x_s,bau30_ws_x_c,bau30_ws_x_l,bau50_ws_x_r,bau50_ws_x_s,bau50_ws_x_c,bau50_ws_x_l,bau80_ws_x_r,bau80_ws_x_s,bau80_ws_x_c,bau80_ws_x_l,opt30_ws_x_r,opt30_ws_x_s,opt30_ws_x_c,opt30_ws_x_l,opt50_ws_x_r,opt50_ws_x_s,opt50_ws_x_c,opt50_ws_x_l,opt80_ws_x_r,opt80_ws_x_s,opt80_ws_x_c,opt80_ws_x_l,pes30_ws_x_r,pes30_ws_x_s,pes30_ws_x_c,pes30_ws_x_l,pes50_ws_x_r,pes50_ws_x_s,pes50_ws_x_c,pes50_ws_x_l,pes80_ws_x_r,pes80_ws_x_s,pes80_ws_x_c,pes80_ws_x_l,pfaf_prefix
711405,4.81e-05,0.0,0.0,Low (<10%),4.24e-05,0.0,0.0,Low (<10%),4.21e-05,0.0,0.0,Low (<10%),4.88e-05,0.0,0.0,Low (<10%),4.85e-05,0.0,0.0,Low (<10%),6.23e-05,0.0,0.0,Low (<10%),4.77e-05,0.0,0.0,Low (<10%),5.12e-05,0.0,0.0,Low (<10%),5.72e-05,0.0,0.0,Low (<10%),7
711406,4.73e-06,0.0,0.0,Low (<10%),4.21e-06,0.0,0.0,Low (<10%),4.43e-06,0.0,0.0,Low (<10%),4.63e-06,0.0,0.0,Low (<10%),4.17e-06,0.0,0.0,Low (<10%),4.88e-06,0.0,0.0,Low (<10%),4.62e-06,0.0,0.0,Low (<10%),4.3e-06,0.0,0.0,Low (<10%),4.25e-06,0.0,0.0,Low (<10%),7
711407,3.12e-07,0.0,0.0,Low (<10%),3.02e-07,0.0,0.0,Low (<10%),2.99e-07,0.0,0.0,Low (<10%),3.01e-07,0.0,0.0,Low (<10%),2.71e-07,0.0,0.0,Low (<10%),3.31e-07,0.0,0.0,Low (<10%),3.04e-07,0.0,0.0,Low (<10%),3.03e-07,0.0,0.0,Low (<10%),2.88e-07,0.0,0.0,Low (<10%),7
711409,1.21e-06,0.0,0.0,Low (<10%),1.2e-06,0.0,0.0,Low (<10%),1.18e-06,0.0,0.0,Low (<10%),1.16e-06,0.0,0.0,Low (<10%),1.06e-06,0.0,0.0,Low (<10%),1.28e-06,0.0,0.0,Low (<10%),1.2e-06,0.0,0.0,Low (<10%),1.2e-06,0.0,0.0,Low (<10%),1.12e-06,0.0,0.0,Low (<10%),7
711408,4.41e-07,0.0,0.0,Low (<10%),4.34e-07,0.0,0.0,Low (<10%),4.29e-07,0.0,0.0,Low (<10%),4.17e-07,0.0,0.0,Low (<10%),3.85e-07,0.0,0.0,Low (<10%),4.68e-07,0.0,0.0,Low (<10%),4.32e-07,0.0,0.0,Low (<10%),4.35e-07,0.0,0.0,Low (<10%),4.09e-07,0.0,0.0,Low (<10%),7
711500,8.11e-10,0.0,0.0,Low (<10%),7.06e-10,0.0,0.0,Low (<10%),7.52e-10,0.0,0.0,Low (<10%),8.03e-10,0.0,0.0,Low (<10%),7.36e-10,0.0,0.0,Low (<10%),8.3e-10,0.0,0.0,Low (<10%),7.91e-10,0.0,0.0,Low (<10%),7.38e-10,0.0,0.0,Low (<10%),7.21e-10,0.0,0.0,Low (<10%),7
711600,4.55e-07,0.0,0.0,Low (<10%),4e-07,0.0,0.0,Low (<10%),4.61e-07,0.0,0.0,Low (<10%),4.28e-07,0.0,0.0,Low (<10%),4.07e-07,0.0,0.0,Low (<10%),4.12e-07,0.0,0.0,Low (<10%),4.39e-07,0.0,0.0,Low (<10%),4.79e-07,0.0,0.0,Low (<10%),3.78e-07,0.0,0.0,Low (<10%),7
711700,1.13e-07,0.0,0.0,Low (<10%),1.13e-07,0.0,0.0,Low (<10%),1.13e-07,0.0,0.0,Low (<10%),1.1e-07,0.0,0.0,Low (<10%),1.08e-07,0.0,0.0,Low (<10%),1.07e-07,0.0,0.0,Low (<10%),1.1e-07,0.0,0.0,Low (<10%),1.29e-07,0.0,0.0,Low (<10%),1.07e-07,0.0,0.0,Low (<10%),7
711811,1.19e-06,0.0,0.0,Low (<10%),1.14e-06,0.0,0.0,Low (<10%),1.24e-06,0.0,0.0,Low (<10%),1.07e-06,0.0,0.0,Low (<10%),1.06e-06,0.0,0.0,Low (<10%),1.35e-06,0.0,0.0,Low (<10%),1.13e-06,0.0,0.0,Low (<10%),1.12e-06,0.0,0.0,Low (<10%),1.26e-06,0.0,0.0,Low (<10%),7
711813,1.73e-06,0.0,0.0,Low (<10%),1.57e-06,0.0,0.0,Low (<10%),1.43e-06,0.0,0.0,Low (<10%),1.61e-06,0.0,0.0,Low (<10%),2.16e-06,0.0,0.0,Low (<10%),3.39e-06,0.0,0.0,Low (<10%),1.79e-06,0.0,0.0,Low (<10%),2.34e-06,0.0,0.0,Low (<10%),3.71e-06,0.0,0.0,Low (<10%),7
