id,state,state_abb,county,county_id,operator,name,sqft,lon,lat,type,bws_annual_mean_score,bws_annual_label,bws_state_score,bws_state_label,bws_state_category,merge_method
701923202,Virginia,VA,Loudoun County,107,Digital Realty,Digital Realty Northern Virginia IAD40,244372.0,-77.46725431679586,39.00645434248415,building,1.0,Low-Medium (10-20%),1.0,Low-Medium (10-20%),Low-Medium,state_level_fallback
460089168,North Carolina,NC,Rutherford County,161,Meta,Meta Forest City datacenter,244176.0,-81.82632689449466,35.31737236865609,building,1.2,Low-Medium (10-20%),1.2,Low-Medium (10-20%),Low-Medium,state_level_fallback
830885774,Iowa,IA,Warren County,181,Microsoft,Microsoft,243678.0,-93.78707464281725,41.49891302864557,building,1.5,Low-Medium (10-20%),1.5,Low-Medium (10-20%),Low-Medium,state_level_fallback
545895086,South Dakota,SD,Minnehaha County,99,,ADP South Dakota,243125.0,-96.79470699634729,43.59991456599551,building,2.0,Medium-High (20-40%),2.0,Medium-High (20-40%),Medium-High,state_level_fallback
1128589933,Virginia,VA,Loudoun County,107,,,242639.0,-77.56077132424072,39.06964742434577,building,1.0,Low-Medium (10-20%),1.0,Low-Medium (10-20%),Low-Medium,state_level_fallback
507673418,Texas,TX,Denton County,121,,CITIGROUP TECHNOLOGY INC,242536.0,-97.24529013457187,33.00638147848431,building,3.2,High (40-80%),3.2,High (40-80%),High,state_level_fallback
1124864831,Virginia,VA,Loudoun County,107,Microsoft,Microsoft IAD11,242344.0,-77.5559109545917,38.94825818613084,building,1.0,Low-Medium (10-20%),1.0,Low-Medium (10-20%),Low-Medium,state_level_fallback
1075278060,Iowa,IA,Warren County,181,Microsoft,Microsoft,242270.0,-93.78699632287524,41.49683039481866,building,1.5,Low-Medium (10-20%),1.5,Low-Medium (10-20%),Low-Medium,state_level_fallback
1173822721,Washington,WA,Chelan County,7,,EAT14,241836.0,-120.16009077106148,47.35949692084332,building,1.2,Low-Medium (10-20%),1.2,Low-Medium (10-20%),Low-Medium,state_level_fallback
1263819877,Nevada,NV,Clark County,3,Switch,,241776.0,-115.22111213586722,36.06402201453284,building,3.8,High (40-80%),3.8,High (40-80%),High,state_level_fallback
1372772726,Arizona,AZ,Maricopa County,13,,,241211.0,-111.67808965639534,33.35323014577916,building,4.5,Extremely High (>80%),4.5,Extremely High (>80%),Extremely High,state_level_fallback
1443187163,Virginia,VA,Loudoun County,107,,CloudHQ LC3,241208.0,-77.46040491955637,39.01121179839231,building,1.0,Low-Medium (10-20%),1.0,Low-Medium (10-20%),Low-Medium,state_level_fallback
1152748037,Oregon,OR,Crook County,13,,,241183.0,-120.894594693301,44.299287947754344,building,1.5,Low-Medium (10-20%),1.5,Low-Medium (10-20%),Low-Medium,state_level_fallback
460089167,North Carolina,NC,Rutherford County,161,Meta,Meta Forest City datacenter,241126.0,-81.82213877550394,35.314231256978196,building,1.2,Low-Medium (10-20%),1.2,Low-Medium (10-20%),Low-Medium,state_level_fallback
195165354,Missouri,MO,Platte County,165,,,240121.0,-94.67347189936218,39.29565786992253,building,1.8,Low-Medium (10-20%),1.8,Low-Medium (10-20%),Low-Medium,state_level_fallback
28544618,Texas,TX,Dallas County,113,Equinix,Equinix Infomart,239835.0,-96.81951054637986,32.800943222986994,building,3.2,High (40-80%),3.2,High (40-80%),High,state_level_fallback
830885773,Iowa,IA,Warren County,181,Microsoft,Microsoft,239270.0,-93.78703936226476,41.49787064306023,building,1.5,Low-Medium (10-20%),1.5,Low-Medium (10-20%),Low-Medium,state_level_fallback
1283734104,Arizona,AZ,Maricopa County,13,Microsoft,Microsoft,238581.0,-112.37391953991316,33.44634015387983,building,4.5,Extremely High (>80%),4.5,Extremely High (>80%),Extremely High,state_level_fallback
1427613545,Ohio,OH,Licking County,89,Vantage,Vantage Building 2,237734.0,-82.74711627367479,40.1005314675866,building,1.2,Low-Medium (10-20%),1.2,Low-Medium (10-20%),Low-Medium,state_level_fallback
1235150788,Nebraska,NE,Sarpy County,153,Yahoo,Yahoo,237691.0,-96.08489874916177,41.180499991010024,building,2.3,Medium-High (20-40%),2.3,Medium-High (20-40%),Medium-High,state_level_fallback
1173537116,Washington,WA,Douglas County,17,Microsoft,Microsoft EAT03,235418.0,-120.20770997491816,47.41832392189266,building,1.2,Low-Medium (10-20%),1.2,Low-Medium (10-20%),Low-Medium,state_level_fallback
1173537117,Washington,WA,Douglas County,17,Microsoft,Microsoft EAT04,234834.0,-120.21382073657306,47.419636588714944,building,1.2,Low-Medium (10-20%),1.2,Low-Medium (10-20%),Low-Medium,state_level_fallback
1280344148,Ohio,OH,Union County,159,Amazon Web Services,Amazon Web Services,233609.0,-83.21583366417357,40.13418977024933,building,1.2,Low-Medium (10-20%),1.2,Low-Medium (10-20%),Low-Medium,state_level_fallback
1173822722,Washington,WA,Chelan County,7,,EAT13,232237.0,-120.15997586326914,47.35842571835008,building,1.2,Low-Medium (10-20%),1.2,Low-Medium (10-20%),Low-Medium,state_level_fallback
649365751,Virginia,VA,Loudoun County,107,NTT,NTT Ashburn VA3 Data Center,231924.0,-77.47037644027546,39.017182329202555,building,1.0,Low-Medium (10-20%),1.0,Low-Medium (10-20%),Low-Medium,state_level_fallback
373945186,Oregon,OR,Crook County,13,,,231830.0,-120.8839983863009,44.29489361961425,building,1.5,Low-Medium (10-20%),1.5,Low-Medium (10-20%),Low-Medium,state_level_fallback
617194689,Nevada,NV,Clark County,3,Switch,Switch Las Vegas 11,230261.0,-115.21413677748544,36.05588519591084,building,3.8,High (40-80%),3.8,High (40-80%),High,state_level_fallback
1010260675,Texas,TX,Medina County,325,Microsoft,Microsoft TRP3 (SAT46),228897.0,-98.806374449939,29.412976988788397,building,3.2,High (40-80%),3.2,High (40-80%),High,state_level_fallback
1010260677,Texas,TX,Bexar County,29,Microsoft,Microsoft,228885.0,-98.8045147999406,29.415795638786996,building,3.2,High (40-80%),3.2,High (40-80%),High,state_level_fallback
1010260676,Texas,TX,Bexar County,29,Microsoft,Microsoft,228882.0,-98.80331595094908,29.41579676372189,building,3.2,High (40-80%),3.2,High (40-80%),High,state_level_fallback
222672860,Virginia,VA,Prince William County,153,Amazon Web Services,Amazon IAD-55,228140.0,-77.64876376105127,38.81506150876172,building,1.0,Low-Medium (10-20%),1.0,Low-Medium (10-20%),Low-Medium,state_level_fallback
191655977,Iowa,IA,Pottawattamie County,155,,,227733.0,-95.86382197433596,41.22148561735031,building,1.5,Low-Medium (10-20%),1.5,Low-Medium (10-20%),Low-Medium,state_level_fallback
1126159710,Oregon,OR,Umatilla County,59,Amazon Web Services,Amazon PDX63,227376.0,-119.32052237838585,45.901449845508274,building,1.5,Low-Medium (10-20%),1.5,Low-Medium (10-20%),Low-Medium,state_level_fallback
1472128597,Georgia,GA,Fayette County,113,Quality Technology Services,QTS,227238.0,-84.52265191627977,33.44836060805451,building,1.5,Low-Medium (10-20%),1.5,Low-Medium (10-20%),Low-Medium,state_level_fallback
