id,mw_capacity,mw_source,match_dist_m,ft_status,qa_operator_mismatch
00509611423,,fractracker_2026-07-10,70.3,Operating,False
00300959969,32.0,fractracker_2026-07-10,29.0,Operating,False
00471658485,,fractracker_2026-07-10,407.0,Operating,True
00300162689,,fractracker_2026-07-10,110.8,Operating,True
00052958203,,fractracker_2026-07-10,27.0,Operating,True
00696978351,,fractracker_2026-07-10,179.2,Operating,False
00231664575,,fractracker_2026-07-10,40.4,Operating,False
00273896089,,fractracker_2026-07-10,30.4,Operating,False
00221897579,,fractracker_2026-07-10,11.1,Operating,False
00239147373,,fractracker_2026-07-10,12.7,Operating,True
00328703598,12.0,fractracker_2026-07-10,13.9,Operating,False
00257581364,,fractracker_2026-07-10,25.1,Operating,False
00438077632,,fractracker_2026-07-10,108.3,Operating,False
00254742610,,fractracker_2026-07-10,107.2,Approved/Permitted/Under construction,False
00460175664,,fractracker_2026-07-10,26.4,Operating,False
00048242816,,fractracker_2026-07-10,5.5,Operating,True
00392324240,2.0,fractracker_2026-07-10,5.4,Operating,False
00046128119,,fractracker_2026-07-10,487.6,Approved/Permitted/Under construction,True
00933393863,2.0,fractracker_2026-07-10,38.0,Operating,False
00537807168,1.8,fractracker_2026-07-10,8.5,Operating,False
00664938835,1.6,fractracker_2026-07-10,3.9,Operating,True
00037947315,,fractracker_2026-07-10,124.8,Operating,True
00589360530,,fractracker_2026-07-10,49.4,Operating,False
00773848531,1.5,fractracker_2026-07-10,5.0,Expanding,False
00209073645,,fractracker_2026-07-10,14.3,Operating,False
00253682978,,fractracker_2026-07-10,13.8,Operating,False
00042323063,,fractracker_2026-07-10,16.2,Operating,False
00536784688,8.0,fractracker_2026-07-10,7.3,Operating,True
00239147724,,fractracker_2026-07-10,12.5,Operating,True
00102129663,,fractracker_2026-07-10,10.4,Operating,False
00417682781,,fractracker_2026-07-10,30.3,Operating,True
00089784186,,fractracker_2026-07-10,11.8,Operating,True
00337126739,,fractracker_2026-07-10,35.4,Operating,False
00079159494,,fractracker_2026-07-10,17.0,Operating,True
00335468616,,fractracker_2026-07-10,15.6,Operating,False
00223928497,13.0,fractracker_2026-07-10,3.6,Operating,False
00397914434,,fractracker_2026-07-10,132.8,Operating,False
00844391357,543.0,fractracker_2026-07-10,62.7,Approved/Permitted/Under construction,False
01339825480,198.0,fractracker_2026-07-10,170.2,Operating,False
01213758201,,fractracker_2026-07-10,247.1,Operating,False
00013924557,,fractracker_2026-07-10,117.7,Operating,False
01054387470,,fractracker_2026-07-10,275.7,Expanding,False
00014997588,,fractracker_2026-07-10,101.7,Operating,False
01387391200,,fractracker_2026-07-10,19.5,Operating,True
00708155014,,fractracker_2026-07-10,53.2,Operating,False
01356594646,240.0,fractracker_2026-07-10,418.1,Operating,False
00009474864,,fractracker_2026-07-10,182.6,Expanding,False
01422191450,400.0,fractracker_2026-07-10,171.6,Operating,False
00578435601,78.0,fractracker_2026-07-10,131.4,Operating,False
00578438011,,fractracker_2026-07-10,40.9,Operating,False
00688722307,,fractracker_2026-07-10,24.4,Operating,False
01022744244,,fractracker_2026-07-10,26.6,Operating,False
00640148472,,fractracker_2026-07-10,38.2,Operating,False
01301559332,,fractracker_2026-07-10,38.5,Operating,False
00897226569,,fractracker_2026-07-10,87.2,Operating,True
01161730862,,fractracker_2026-07-10,14.9,Expanding,False
01207052719,,fractracker_2026-07-10,91.8,Operating,False
00450078003,,fractracker_2026-07-10,12.3,Operating,False
00706726088,,fractracker_2026-07-10,34.3,Expanding,True
00460053028,,fractracker_2026-07-10,21.0,Operating,True
01022744248,,fractracker_2026-07-10,23.3,Operating,True
00460053030,,fractracker_2026-07-10,35.0,Operating,True
01020953454,,fractracker_2026-07-10,2.2,Operating,False
00635022480,12.0,fractracker_2026-07-10,2.1,Operating,True
00876120402,,fractracker_2026-07-10,6.3,Expanding,False
00696985482,,fractracker_2026-07-10,39.9,Operating,False
01022757170,13.0,fractracker_2026-07-10,5.9,Operating,False
00715098032,,fractracker_2026-07-10,210.5,Operating,False
00714120969,,fractracker_2026-07-10,117.0,Operating,False
00714776107,26.0,fractracker_2026-07-10,43.1,Operating,False
01317915930,,fractracker_2026-07-10,8.3,Operating,True
00840582927,6.7,fractracker_2026-07-10,2.5,Operating,False
01450788161,,fractracker_2026-07-10,103.3,Expanding,False
01227539675,,fractracker_2026-07-10,18.7,Operating,False
01012918195,4.0,fractracker_2026-07-10,264.1,Operating,False
