state,state_abb,county,county_id,dc_count,total_sqft,bws_score,bws_category,mean_lat,mean_lon,bws_label
Pennsylvania,PA,Philadelphia County,101,1,119659.0,2.7631098605069795,Medium-High,39.959809526359834,-75.16083249176855,Medium-High (20-40%)
Texas,TX,Navarro County,349,1,11717820.0,0.6831189293964037,Low,31.969859243171552,-96.51328904143112,Low (<10%)
Puerto Rico,PR,San Juan Municipio,127,1,23137.0,0.4808796015236186,Low,18.446826968330527,-66.0516872147712,Low (<10%)
Virginia,VA,Lynchburg city,680,1,0.0,2.3325383751858437,Medium-High,37.41568800000001,-79.1427063,Medium-High (20-40%)
Wyoming,WY,Campbell County,5,1,5975.0,2.98225266051319,Medium-High,44.18923686731807,-105.61048019591456,Medium-High (20-40%)
Wisconsin,WI,Waukesha County,133,1,47298.0,3.8612801635451213,High,43.05138860290855,-88.21666504030928,High (40-80%)
Wisconsin,WI,Walworth County,127,1,9001.0,3.3883723120566427,High,42.83365364525283,-88.73398014165807,High (40-80%)
Wisconsin,WI,Racine County,101,1,9094.0,2.59442197919632,Medium-High,42.67566516635273,-87.91840525370044,Medium-High (20-40%)
Wisconsin,WI,Marquette County,77,1,8257.0,3.9207358501401584,High,43.78218427328896,-89.57480850448691,High (40-80%)
Wisconsin,WI,Dunn County,33,1,3368.0,2.900507227618263,Medium-High,44.87716526998907,-91.91999887343924,Medium-High (20-40%)
Wisconsin,WI,Dodge County,27,1,18261491.0,3.3883723120566427,High,43.510374241426895,-88.81652212808933,High (40-80%)
Wisconsin,WI,Columbia County,21,1,361.0,3.2538136901691566,High,43.63833310938071,-89.72140293849328,High (40-80%)
Wisconsin,WI,Calumet County,15,1,60180.0,0.2272530047416814,Low,44.20445478438387,-88.34487612453424,Low (<10%)
West Virginia,WV,Morgan County,65,1,0.0,2.790604855358392,Medium-High,39.63098509999999,-78.2253196,Medium-High (20-40%)
Washington,WA,Whatcom County,73,1,4312.0,0.033678521968386735,Low,48.75726819331372,-122.480547528078,Low (<10%)
Washington,WA,Thurston County,67,1,9139.0,0.1404019192067645,Low,46.94142447057516,-122.62504386293934,Low (<10%)
Virginia,VA,Mecklenburg County,117,1,11273954.0,2.7626755393099973,Medium-High,36.685373308018725,-78.37655327186563,Medium-High (20-40%)
Virginia,VA,Manassas city,683,1,95987.0,3.5565707271080385,High,38.740435867935545,-77.50398435557676,High (40-80%)
Virginia,VA,Harrisonburg city,660,1,505755.0,2.799173493814056,Medium-High,38.46254477041857,-78.8567969651793,Medium-High (20-40%)
South Carolina,SC,Aiken County,3,1,3608146.0,2.921458022821135,Medium-High,33.642273149086826,-81.84262698059472,Medium-High (20-40%)
