pfaf_id,bws_annual_mean_raw,bws_annual_mean_score,bws_annual_max_raw,bws_annual_max_score,bws_summer_mean_raw,bws_summer_mean_score,n_arid_months,n_raw_masked_months,bwd_annual_mean_raw,bwd_annual_mean_score,iav_annual_mean_raw,iav_annual_mean_score,is_arid,bws_category,bws_annual_label,pfaf_prefix
284006,1.6904946304037105,3.152115416526892,5.57030812246602,5.0,4.787282783800923,5.0,0,0,0.6974314783927099,2.4897074563750956,0.43538029525799526,1.741521181031981,False,High,High (40-80%),2
284007,0.0881050283937727,0.6993203414307095,0.3949861179385056,2.981801949661353,0.294386482686405,2.5186321716352986,0,0,0.03362357011339836,0.416480931722647,0.5143585789164209,2.057434315665684,False,Low,Low (<10%),2
284008,4.88171094346426,4.4595485742008725,29.325819639858285,5.0,29.325819639858285,5.0,0,3,2.146324881789409,3.143671763882182,0.5455945028551428,2.182378011420571,False,Extremely High,Extremely High (>80%),2
284100,0.0006057641024426833,0.0,0.0010865379526909,0.0,0.0010069288981849665,0.0,0,0,0.00024979502883539303,0.0049959005767087495,0.2532117302945753,1.012846921178301,False,Low,Low (<10%),2
284201,0.0006057641024426833,0.0,0.0010865379526909,0.0,0.0010069288981849665,0.0,0,0,0.00024979502883539303,0.0049959005767087495,0.2532117302945753,1.012846921178301,False,Low,Low (<10%),2
284202,0.13003568442102728,0.9542936445475334,0.3862610808594446,2.949576320904815,0.32913278415332015,2.703266559936457,0,0,0.06551074432695458,0.7424036252548841,0.3169439454808458,1.2677757819233832,False,Low,Low (<10%),2
284203,0.0017417816385681252,0.0,0.0057402834298931,0.0,0.004624311693110267,0.0,0,0,0.0012142823970847333,0.024285647941695337,0.3055974127430273,1.2223896509721095,False,Low,Low (<10%),2
284204,,,,,,,12,12,,,0.8843163514420397,3.5372654057681587,True,Arid,Arid and Low Water Use,2
284205,0.0008538260460224917,0.0,0.001417101615097,0.0,0.0007813384081261666,0.0,0,0,0.000856211563907775,0.017124231278156352,0.39357562638962557,1.5743025055585027,False,Low,Low (<10%),2
284206,0.027951943107203826,0.19526643810416586,0.1105004313330542,1.1440520011175557,0.09009739084126304,0.7810657524166634,0,0,0.016686671551689288,0.30477784172426814,0.3972367706624767,1.5889470826499068,False,Low,Low (<10%),2
284207,0.0008887504259525166,0.0,0.0013699153993112,0.0,0.0008432208796340001,0.0,0,0,0.0005724736778121834,0.011449473556244849,0.39972032706124044,1.5988813082449618,False,Low,Low (<10%),2
284208,,,,,,,12,12,,,0.6458923382681891,2.583569353072757,True,Arid,Arid and Low Water Use,2
284209,0.1439111760511533,1.4118593219373243,0.211115974692657,2.078035748452526,0.16440434594163109,1.6738292423527719,0,0,0.03795449561278966,0.7147864374388416,0.39729389684966354,1.5891755873986544,False,Low-Medium,Low-Medium (10-20%),2
284301,,,,,,,12,12,,,0.6443490637755781,2.5773962551023124,True,Arid,Arid and Low Water Use,2
284302,0.34185879128252744,2.3012103930427488,0.972813923844664,4.28216387816255,0.8002413826957732,3.9676316893570593,0,0,0.15703472944335836,1.3290330257489262,0.6396002450178481,2.5584009800713923,False,Medium-High,Medium-High (20-40%),2
